specification,AME_pp,SE_pp,CI95_low_pp,CI95_high_pp,p_difference,margin_pp,p_TOST,equivalent
city_fe,-0.583176,0.356508,-1.281931,0.115579,0.101881,0.5,0.592239,False
city_fe,-0.583176,0.356508,-1.281931,0.115579,0.101881,1.0,0.121164,False
city_fe,-0.583176,0.356508,-1.281931,0.115579,0.101881,2.0,3.5e-05,True
country_fe,-0.750197,0.352074,-1.440263,-0.060131,0.033106,0.5,0.761345,False
country_fe,-0.750197,0.352074,-1.440263,-0.060131,0.033106,1.0,0.239002,False
country_fe,-0.750197,0.352074,-1.440263,-0.060131,0.033106,2.0,0.000193,True
